title,price_gbp,rating,in_stock,category,price_inr
Sharp Objects,47.82,4,True,Mystery,5045.01
"In a Dark, Dark Wood",19.63,1,True,Mystery,2070.9649999999997
The Past Never Ends,56.5,4,True,Mystery,5960.75
A Murder in Time,16.64,1,True,Mystery,1755.52
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,True,Mystery,4652.55
The Last Mile (Amos Decker #2),54.21,2,True,Mystery,5719.155
That Darkness (Gardiner and Renner #1),13.92,1,True,Mystery,1468.56
Tastes Like Fear (DI Marnie Rome #3),10.69,1,True,Mystery,1127.7949999999998
A Time of Torment (Charlie Parker #14),48.35,5,True,Mystery,5100.925
A Study in Scarlet (Sherlock Holmes #1),16.73,2,True,Mystery,1765.015
Poisonous (Max Revere Novels #3),26.8,3,True,Mystery,2827.4
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,True,Mystery,5734.98
Most Wanted,35.28,3,True,Mystery,3722.04
Hide Away (Eve Duncan #20),11.84,1,True,Mystery,1249.12
Boar Island (Anna Pigeon #19),59.48,3,True,Mystery,6275.139999999999
The Widow,27.26,2,True,Mystery,2875.9300000000003
Playing with Fire,13.71,3,True,Mystery,1446.4050000000002
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,True,Mystery,2676.5350000000003
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,True,Mystery,5517.65
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,True,Mystery,2203.895
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,True,Mystery,2616.4
In the Woods (Dublin Murder Squad #1),38.38,2,True,Mystery,4049.09
The Silkworm (Cormoran Strike #2),23.05,5,True,Mystery,2431.775
The Exiled,43.45,3,True,Mystery,4583.975
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,True,Mystery,2026.6550000000002
Extreme Prey (Lucas Davenport #26),25.4,3,True,Mystery,2679.7
Career of Evil (Cormoran Strike #3),24.72,2,True,Mystery,2607.96
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,True,Mystery,6087.35
The Girl You Lost,12.29,5,True,Mystery,1296.5949999999998
The Girl In The Ice (DCI Erika Foster #1),15.85,3,True,Mystery,1672.175
Blood Defense (Samantha Brinkman #1),20.3,3,True,Mystery,2141.65
1st to Die (Women's Murder Club #1),53.98,1,True,Mystery,5694.889999999999
Tipping the Velvet,53.74,1,True,Historical Fiction,5669.570000000001
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,True,Historical Fiction,3132.295
A Flight of Arrows (The Pathfinders #2),55.53,5,True,Historical Fiction,5858.415
The House by the Lake,36.95,1,True,Historical Fiction,3898.2250000000004
Mrs. Houdini,30.25,5,True,Historical Fiction,3191.375
